EPIC;ID User Story;Libellé User Story;MVP;Front_or_Back;Module;Dépend de (Parent);Type fonctionnel;Pilier(s);Profil utilisateur;Phrase méthode agile;Besoins testables
EPIC 9 – Utilisateurs;US9.2;Authentification;True;Front-end;Administration & profils;;Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux mettre en place l'authentification des utilisateurs afin de sécuriser l'accès à la plateforme.;"Étant donné des identifiants valides, quand je me connecte, alors l'authentification réussit et je suis redirigé vers la vue de mon profil, sans mot de passe affiché ni stocké en clair.
Étant donné des identifiants invalides, quand je tente une connexion, alors un message d'échec générique est affiché et l'incident (échec) est tracé côté logs.
Étant donné une session authentifiée, quand celle-ci expire (inactivité définie), alors l'utilisateur est déconnecté proprement et redirigé vers le formulaire de connexion.
Étant donné une fonctionnalité protégée, quand un utilisateur non authentifié tente d'y accéder, alors une redirection vers l'authentification est effectuée avant de servir la ressource.
Étant donné la conformité RGPD (cookies / stockage local), quand une session est ouverte, alors aucun mot de passe ni donnée personnelle sensible n'est stocké côté navigateur."
EPIC 9 – Utilisateurs;US9.3;Rôles simples;True;Front-end;Administration & profils;US9.2;Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux définir des rôles simples afin d'attribuer des droits adaptés à chaque profil.;"Étant donné les rôles définis par la plateforme (administrateur plateforme, administrateur expert data, expert métier eau potable, décideur, intéressé public), quand un compte est créé ou modifié, alors un rôle simple lui est attribué parmi cette liste normative.
Étant donné un utilisateur connecté, quand il utilise la plateforme, alors seules les fonctionnalités autorisées par son rôle sont visibles et actives.
Étant donné un utilisateur sans droit, quand il tente d'accéder à une fonctionnalité ou URL directe, alors l'accès est bloqué (aucun contournement par autorisation via adresse directe).
Étant donné le changement de rôle d'un compte, quand il est enregistré, alors les nouveaux droits sont appliqués à la connexion suivante, sans privilège résiduel sur la session antérieure. --- EPIC 10 — Traçabilité"
EPIC 9 – Utilisateurs;US9.4;Restreindre accès fin;False;Front-end;Administration & profils;"US9.3 ; US8.4 ; US8.5";Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux restreindre finement l'accès aux données et aux fonctionnalités afin de limiter la consultation aux seuls droits autorisés.;
EPIC 9 – Utilisateurs;US9.5;Adapter interface;False;Front-end;Administration & profils;"US9.2 ; US9.3";Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux adapter l'interface selon le profil de l'utilisateur afin d'afficher les fonctionnalités pertinentes pour chacun.;
EPIC 9 – Utilisateurs;US9.6;Suivre connexions;False;Backend;Administration & profils;US9.2;Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux suivre les connexions des utilisateurs afin de surveiller l'utilisation de la plateforme.;
EPIC 10 – Traçabilité;US10.1;Tracer imports;True;Backend;Suivi qualité & traçabilité;;Gouvernance;Transverse (socle);Administrateur expert data;En tant qu'administrateur expert data, je veux tracer les imports afin de savoir quelles données ont été chargées.;"Étant donné un import (fichier ou source externe) réalisé, quand il se termine, alors une entrée de journal est créée : type d'import, source, périmètre, nombre de lignes, statut (réussi / partiel / échoué) et horaire (dates/heures).
Étant donné un import partiel ou échoué, quand l'entrée est consultée, alors les détails des erreurs (lignes rejetées, motif) sont accessibles pour la correction.
Étant donné le journal des imports, quand je le consulte, alors la recherche par période, source et statut est possible, et le contenu est immuable (aucune suppression).
Étant donné un import suivi, quand il est enregistré, alors l'événement est visible dans le journal dans un délai conforme aux engagements contractuels, indépendamment du statut ultérieur des données."
EPIC 10 – Traçabilité;US10.2;Tracer calculs;True;Backend;Suivi qualité & traçabilité;US4.1;Gouvernance;Transverse (socle);Administrateur expert data;En tant qu'administrateur expert data, je veux tracer les calculs afin de reconstituer leur exécution.;"Étant donné un calcul (indicateur simple, agrégation bassin versant, agrégation temporelle) exécuté, quand il est journalisé, alors le journal enregistre : identifiant de l'exécution, version de l'indicateur, données d'entrée, paramètres, date et statut.
Étant donné un recalcul, quand il est déclenché, alors une nouvelle entrée de journal est créée (l'entrée précédente n'est pas écrasée), permettant la reconstitution.
Étant donné le journal des calculs, quand je le consulte, alors il permet de relier chaque résultat à la définition d'indicateur et aux paramètres utilisés.
Étant donné l'échec d'un calcul, quand il est journalisé, alors le motif est explicité, accessible à l'administrateur pour permettre la correction. --- *Périmètre MVP — Ce document référence le catalogue des indicateurs (38 indicateurs) et les référentiels (BVAEP, captages, PPE) fournis en données de référence pour la recette en Nouvelle-Calédonie. La liste des US couvertes correspond aux flags `MVP=TRUE` du fichier backlog.csv : 33 US au total pour les EPIC 6 à 10, dont 24 pour l'EPIC 6.* ---"
EPIC 10 – Traçabilité;US10.3;Journal actions;False;Front-end;Suivi qualité & traçabilité;;Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux consulter le journal des actions afin de tracer les opérations effectuées sur la plateforme.;
EPIC 10 – Traçabilité;US10.4;Historique modifications;False;Front-end;Suivi qualité & traçabilité;US1.6;Gouvernance;Transverse (socle);Administrateur expert data;En tant qu'administrateur expert data, je veux consulter l'historique des modifications afin de suivre les changements.;
EPIC 10 – Traçabilité;US10.5;Reconstituer calcul;False;Backend;Suivi qualité & traçabilité;"US1.6 ; US10.2";Gouvernance;Transverse (socle);Administrateur expert data;En tant qu'administrateur expert data, je veux reconstituer un calcul afin de vérifier un résultat passé.;
EPIC 10 – Traçabilité;US10.6;Audit usages;False;Backend;Suivi qualité & traçabilité;;Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux auditer les usages de la plateforme afin de contrôler les accès et de justifier les actions.;
EPIC 7 – Aide à la décision;US7.1;Définir des seuils;False;Front-end;Suivi & veille;;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux définir des seuils d'alerte afin de qualifier les valeurs des indicateurs et être averti des situations critiques.;
EPIC 7 – Aide à la décision;US7.2;Détecter dépassement;False;Front-end;Suivi & veille;US7.1;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Décideur métier;En tant qu'expert métier eau potable, je veux détecter les dépassements de seuil afin d'anticiper les périodes de tension sur la ressource.;
EPIC 7 – Aide à la décision;US7.3;Identifier tendances;True;Front-end;Suivi & veille;;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant que décideur métier, je veux identifier des tendances sur les indicateurs afin de détecter les évolutions préoccupantes de la ressource.;"Étant donné un indicateur historisé, quand l'analyse est déclenchée, alors une tendance (orientation : hausse, baisse, stable) est affichée avec sa période de référence.
Étant donné la tendance calculée, quand je la consulte, alors l'intensité (delta ou seuil de variation) présentée est fondée sur une règle explicite et reproductible.
Étant donné une tendance détectée, quand je survole l'élément, alors les valeurs montrant l'évolution de la période sont détaillées.
Étant donné une série trop courte pour une tendance significative, quand elle est demandée, alors l'état « historique insuffisant » est affiché au lieu d'un résultat indicatif."
EPIC 7 – Aide à la décision;US7.4;Détecter et alerter sur un changement significatif;False;Front-end;Suivi & veille;"US7.1 ; US7.3";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux être alerté à la consultation lors de la détection d'un changement significatif sur un indicateur ou un captage/BVAEP, afin de déclencher une analyse ou une action en temps opportun.;Étant donné une règle de détection configurée (seuils US7.1, tendances US7.3), quand la valeur d'un indicateur sur un captage ou BVAEP franchit le critère de changement significatif, alors une alerte au changement est levée, datée et qualifiée. - Étant donné une alerte levée, quand je consulte son détail, alors la règle déclencheuse (indicateur, delta, période comparée, seuil) est exposée de façon explicite et reproductible. - Étant donné un captage/BVAEP avec une alerte active, quand je consulte sa fiche ou sa vue, alors les indicateurs ayant évolué sont mis en évidence (badge/teinte), sans aucune notification poussée (consultation seule). - Étant donné une vue présentant plusieurs signalements, quand ils coexistent, alors l'alerte au changement est distinguée du dépassement de seuil (US7.1) et de la tendance (US7.3). - Étant donné une alerte active, quand la valeur revient sous le critère ou la période de référence change, alors l'alerte est levée ou marquée « en résolution », sans message résiduel trompeur. - Étant donné le suivi d'un captage/BVAEP, quand je consulte l'historique, alors les alertes passées restent consultables (date, règle, état) sans être écrasées. - Étant donné une série trop courte ou non historisée, quand une alerte serait candidate, alors l'état « historique insuffisant » est affiché et aucune alerte due n'est levée. - Étant donné un profil habilité, quand une alerte est active ou configurée, alors la lecture respecte les droits (RBAC) et la configuration reste tracée (utilisateur, date).
EPIC 7 – Aide à la décision;US7.5;Prioriser territoires;False;Front-end;Suivi & veille;"US5.1 ; US5.2";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux prioriser les territoires selon leur score de criticité afin de concentrer les actions sur les zones les plus sensibles.;
EPIC 7 – Aide à la décision;US7.6;Aide à interprétation avancée;False;Front-end;Suivi & veille;;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux utiliser l'aide à l'interprétation avancée.;
